"CO_URF";"NO_URF"
"0910506";"0910506 - UMUARAMA"
"0917500";"0917500 - ALF - FOZ DO IGUA«U"
"0917501";"0917501 - IRF - GUAÕRA"
"0917502";"0917502 - IRF - SANTA HELENA"
"0917800";"0917800 - PORTO DE PARANAGUA"
"0917900";"0917900 - ALF - CURITIBA"
"0917901";"0917901 - IRF - AEROPORTO INTERNACIONAL AFONSO PENA"
"0920100";"0920100 - FLORIANOPOLIS"
"0920102";"0920102 - CRICIUMA"
"0920200";"0920200 - JOINVILLE"
"0920203";"0920203 - JARAGUA DO SUL"
"0927501";"0927501 - IRF - AEROPORTO INTERNACIONAL DE FLORIAN”POLIS"
"0927502";"0927502 - IRF - IMBITUBA"
"0927600";"0927600 - AEROPORTO DE FLORIANOPOLIS"
"0927601";"0927601 - IMBITUBA"
"0927700";"0927700 - PORTO DE SAO FRANCISCO DO SUL"
"0927800";"0927800 - ITAJAI"
"0927900";"0927900 - ALF - DIONÕSIO CERQUEIRA"
"1010103";"1010103 - GUAIBA"
"1010151";"1010151 - TRAMANDAI"
"1010200";"1010200 - PELOTAS"
"1010252";"1010252 - JAGUARAO"
"1010253";"1010253 - BAGE"
"1010300";"1010300 - SANTA MARIA"
"1010600";"1010600 - CAXIAS DO SUL"
"1010700";"1010700 - NOVO HAMBURGO"
"1010851";"1010851 - PORTO MAUA"
"1010852";"1010852 - PORTO XAVIER"
"1011100";"1011100 - SANTA CRUZ DO SUL"
"1017500";"1017500 - ALF - URUGUAIANA"
"1017501";"1017501 - IRF - ITAQUI"
"1017502";"1017502 - IRF - QUARAÕ"
"1017503";"1017503 - IRF - S√O BORJA"
"1017551";"1017551 - ARF - BARRA DO QUARAÕ"
"1017700";"1017700 - PORTO DE RIO GRANDE"
"1017701";"1017701 - IRF - CHUÕ"
"1017800";"1017800 - ALF - PORTO ALEGRE"
"1017801";"1017801 - IRF - AEROPORTO INTERNACIONAL SALGADO FILHO"
"1017900";"1017900 - ALF - SANTANA DO LIVRAMENTO"
"0815400";"0815400 - NAO INFORMADO"
"9999999";"9999999 - NAO INFORMADO"
"0147851";"0147851 - ARF - BELA VISTA"
"0812200";"0812200 - ARARAQUARA"
"1010708";"1010708 - ARF - SANTA CRUZ DO SUL"
"0927500";"0927500 - ALF - FLORIAN”POLIS"
"0710252";"0710252 - IRF MACAE"
"0710304";"0710304 - ITAGUAI"
"0811400";"0811400 - SANTO ANDRE"
"0610800";"0610800 - MONTES CLAROS"
"0215200";"0215200 - MONTE DOURADO"
"0220101";"0220101 - ITACOATIARA"
"0510102";"0510102 - CAMACARI"
"0130101";"0130101 - ALTO ARAGUAIA"
"0812700";"0812700 - SAO SEBASTIAO"
"1015400";"1015400 - PORTO ALEGRE"
"0317800";"0317800 - PORTO DE PECEM"
"0910152";"0910152 - ANTONINA"
"1010951";"1010951 - ITAQUI"
"0417700";"0417700 - AEROPORTO GUARARAPES"
"0210251";"0210251 - OBIDOS"
"0920351";"0920351 - DIONISIO CERQUEIRA"
"0920205";"0920205 - RIO DO SUL"
"1010955";"1010955 - QUARAI"
"1011000";"1011000 - SANTANA DO LIVRAMENTO"
"0910602";"0910602 - MARECHAL CANDIDO RONDON"
"0410300";"0410300 - PETROLINA"
"8110000";"8110000 - NAO INFORMADO"
"0920251";"0920251 - SAO FRANCISCO DO SUL"
"0000000";"0000000 - NAO INFORMADO"
"0327600";"0327600 - PORTO DE SAO LUIS"
"0140251";"0140251 - BELA VISTA"
