CO_PAIS;NO_PAIS;NO_PAIS_ING
676;Rússia;Russia
677;Salomão, Ilhas;Solomon Islands
678;Saint Kitts e Nevis;St. Kitts and Nevis
685;Saara Ocidental;Western Sahara
687;El Salvador;El Salvador
690;Samoa;Samoa
691;Samoa Americana;Americana Samoa
693;São Bartolomeu;Saint Barthelemy
695;São Cristóvão e Névis;Saint Christopher and Nevis
697;San Marino;San Marino
698;São Martinho, Ilha de (parte francesa);São Martinho, Ilha de (parte francesa)
699;Sint Maarten;Sint Maarten
700;São Pedro e Miquelon;Saint Pierre and Miquelon
705;São Vicente e Granadinas;Saint Vicent and the Granadines
710;Santa Helena;Saint Helena
715;Santa Lúcia;Saint Lucia
720;São Tomé e Príncipe;São Tome and Principe
728;Senegal;Senegal
731;Seicheles;Seychelles
735;Serra Leoa;Sierra Leone
737;Sérvia;Serbia
741;Singapura;Singapore
744;Síria;Syria
748;Somália;Somalia
750;Sri Lanka;Sri Lanka
754;Suazilândia;Swaziland
755;Svalbard e Jan Mayen;Svalbard and Jan Mayen
756;África do Sul;South Africa
759;Sudão;Sudan
760;Sudão do Sul;South Sudan
764;Suécia;Sweden
767;Suíça;Switzerland
770;Suriname;Suriname
772;Tadjiquistão;Tajikistan
776;Tailândia;Thailand
780;Tanzânia;Tanzania
781;Terras Austrais Francesas;French Southern Lands
782;Território Britânico do Oceano Índico;British Indian Ocean Territory
783;Djibuti;Djibouti
785;Território da Alta Comissão do Pacífico Ocidental;Territory of the High Commissioner of the Western Pacif
786;Território Antártico Britânico;British Antarctic Territory
788;Chade;Chad
790;Tchecoslováquia;Czechoslovakia
791;Tcheca, República;Czech Republic
795;Timor Leste;East Timor
800;Togo;Togo
805;Toquelau;Tokelau
810;Tonga;Tonga
815;Trinidad e Tobago;Trinidad and Tobago
820;Tunísia;Tunisia
823;Turcas e Caicos, Ilhas;Turks and Caicos, Islands
824;Turcomenistão;Turkmenistan
827;Turquia;Turkey
828;Tuvalu;Tuvalu
831;Ucrânia;Ukraine
833;Uganda;Uganda
840;União das Repúblicas Socialistas Soviéticas;Union of Soviet Socialist Republics
845;Uruguai;Uruguay
847;Uzbequistão;Uzbekistan
848;Vaticano;Vatican City
850;Venezuela;Venezuela
858;Vietnã;Vietnam
863;Virgens, Ilhas (Britânicas);Virgin Islands (UK)
866;Virgens, Ilhas (Americanas);Virgin Islands (USA)
870;Fiji;Fiji
873;Wake, Ilha;Wake Island
875;Wallis e Futuna, Ilhas;Wallis and Futuna
888;Congo, República Democrática;Democratic Republic of the Congo
890;Zâmbia;Zambia
895;Zona do Canal do Panamá;Panama Canal Zone
990;Provisão de Navios e Aeronaves;Planes and ships provisions
994;A Designar;To define
995;Bancos Centrais;Central Banks
997;Organizações Internacionais;International Organizations
998;Sem informação;Sem informação
999;Não Declarados;Not declared
