CO_NCM;NO_NCM_ING
85043211;Electrical transform.1kva<pot<=3kva, f/freq<=60hz
85043219;Other electrical transformers 1kva<pot<=3kva
85043221;Electrical transformers 3kva<pot<=16kva, f/freq<=60hz
85043229;Other electrical transformers 3kva<pot<=16kva
84224030;Machinary f/packing paper/paperboard, cap>=5000/h
84224090;Other machinery f/packing or wrapping goods
84229010;Parts of dishwashing machines, domestic type
84229090;Machinery parts f/cleaning/drying/filling/closing, etc.
84231000;Person.weig.machines, incl.baby scales, household sclales
84232000;Scales for continuous weighing of goods on conveyors
84233011;Functinoal units consist.of scales peripheral equipment
74192000;Other articles of copper cast, molded, stamped or forged, but not otherwise worked
74198010;Copper Wire Cloth
74198020;"Grill, netting and fencing, of copper wire; expanded metal"
74198030;Copper springs
74198090;Other copper articles not classified under previous codes
39011020;Polyethylene having a specific gravity of less than 0.94, with load 
39011030;Polyethylene with a density of less than 0.94, unfilled
39072912;Polyoxyphenylene without fillers, in primary forms
85061019;Other electric piles, of manganese dioxide, alkaline
85061031;Electric batteries, of manganese dioxide, alkaline, with a voltage of 9V
85061032;Electric batteries, of manganese dioxide, alkaline, with a voltage of 12V
85061039;Other electric batteries, of manganese dioxide
85075090;Other electric accumulator nickel-hydride metallic
85235210;Proximity cards and proximity tags
85411039;Other diodes mounted, fit for insert mounting (PHP -Pin Through Hole)
85075020;Electric accumulator nickel-hydride metallic with a voltage equal to 1.2V, cylindrical type HR03 (AAA)
94052900;Other electric table, desk, bedside or floor-standing lamps, not falling under previous codes
85393913;Fluorescent tubes with cold cathode or external electrode, for electronic screens, with a length greater than 1,500 mm and containing more than 13 mg of mercury
29314990;Other organo-inorganic compounds derived from non-halogenated organophosphorus, not classified under previous codes
29315912;Etefon
44201900;Other statuettes and other ornaments, not classified in previous codes
49052000;Cartographic work, printed in books or brochures
49059000;Maps and hydrographic or cartographical works of all kinds, including wall maps, topographical plans and globes, printed, other than in book or brochure form
57032900;Other carpets and other textile floor coverings, of nylon or other polyamides, tufted, whether or not made up
57033100;Synthetic or artificial grass, other than of nylon or other polyamides
84049010;Parts of auxiliary plant for vapour boilers, etc
84049090;Parts of auxiliary plant for central heating boilers
74101119;Sheet of refined copper, n/back.t<=0.04mm, purity>=99.85%
74101190;Other sheets/strips, of refined copper, n/back., t<=0.15mm
82082000;Knives/cutting blades of base metals, f/wood working
82083000;Knives/cut.blades of base metals, f/kitchen applian.etc
84181000;Refrigerators combin.with freezers, sepap.external doors
84182100;Refrigerators of compression, household type
84182200;Refrigerators of absorption, electrical, household type
84182900;Other refrigerators of household type
84183000;Freezers of the chest type, capacity<=800l
84184000;Freezers of the upright type, capacity<=900l
84185010;Other freezers
84185090;Ot.refrigerating, cabinets, display coun.etc.f/freez.furn
84186100;Ot.mat.,mach.,appl.prod.cold,pump of heat
84186110;Equipments f/cooling/air-condition.cap<=30000 c/h
84186190;Oth.groups of compres.condenser/heat exchangers
84186910;Ice making machines, not of household type
84186920;Milk coolers
84186931;Cold water or fruit juice fountains
84186932;Aerated beverage fountains
84186940;Equip. for cooling/air-cond.cap<=30000 c/h
85144000;Oth.equip.heat treatm.mater.induction/dielectric loss
85149000;Parts of industrial/laborat.electric furnaces/ovens, etc
85151100;Iron and pistols for soldering strong or weak
85151900;Oth.machin.and apparatus f/welding strong or weak
85152100;Machin.and appar.f/welding metals, of resistance, autom.
82033000;Metal cutting shears, similar hand tools, of base metals
82034000;Pipe-cutters, similar hand tools, of base metals
82041100;Hand-operated spanners, non-adjustable, of base metals
84392000;Machinery f/production of paper/paperboard
84393010;Reeler-tensioners f/finishing paper or paperboard
84393020;Impregnating machines for paper or paperboard
84393030;Machinery for making corrugated paper or paperboard
84393090;Other machinery for finishing paper or paperboard
74082919;Other wires of copper-tin base alloys (bronze)
74082990;Other wires of copper alloys
74091100;Plates, strips, of refined copper thickn>0.15mm, in coils
74091900;Other plates, strips, of refined copper thickn>0.15mm
74092100;Plates, strips, of copper-zinc alloys th>0.15mm, in coils
89011000;Cruise ships, excursion boats, ferry-boats,etc
89012000;Tankers ships
89013000;Refrigerated vessels, excluding tankers
89019000;Oth.vessels f/the transp.of goods or persons/goods
89020010;Fishing vessels,factory ships,etc.length>=35m
89020090;Other fishing vessels,factory ships,etc.
89031000;Inflatable boats
89039100;Sailboats,with or without auxiliary motor
85179010;Printed circuits mounted f/telephonic, etc.
85179091;Laser printing mechanisms, etc.f/facsimile apparatus
85179092;Furniture and framew.f/telephonic/telegraphic apparatus
85179093;Registrars/selectors f/central automatic phone, etc.
85179094;Piezo-electric transducers for telephone set
85179099;Other parts of apparatus for telephony/telegraphy
85181000;Microphones and their supports
85249900;Oth.prepar.recorded media f/sound recording/similar, etc
85251010;Transmis.appar.f/radio-telephony or radio-telegraphy
85251021;Am radium, pot>10kw, cod.modul../wid.pulse, transmis.appar
54033110;"Yarn of viscose rayon 
crushed or bleached, single, twist<=120turns/meter"
48101991;Oth.paper/paperb.forwriting etc.mechanical fibre<=10%,  coated on one side, wet strength, moisture and alkali resistant
85433010;Mach.appar.f.electrolysis with membrane cells
85433090;Other Mach.appar.f/electroplat.electrolysis,electrophoresis
90219012;Expandable implants (stents), even mounted on balloon catheters
95089043;Recreational equipment for water parks
85235110;Memory cards
85235190;Other devices of no-volatile data-storage
71042100;Diam.synt/recons.unwork./simply sawn/roug.shaped
81126900;Articles en cadmium et autres produits en cadmium
84147000;Gas-tight biological safety cabinets (chambers)
84622400;Numerically controlled panel presses
84626900;Presses for cold working metal, not classified under previous codes
4109000;Other edible products of animal origin
85258921;Digital still cameras and video cameras, having three or more image pickers
30069300;Placebos and blind (or double-blind) clinical trial kits intended for a recognized clinical trial, presented in doses
38221200;Reagents for zika and other diseases transmitted by mosquitoes of the genus Aedes
44071300;Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm, of S-P-F (spruce (Picea spp.), pine (Pinus spp.) and fir (Abies spp.))
85177110;Specif.antenna for cellular telephone, except.telescopic
36036000;Electric detonators
85171439;Other telephones for cellular networks, except via satellite, not classified under previous codes
29036910;Iodoethane
85284990;Other monitors with cathode ray tube, not classified under former codes
84624200;Punching, notching or shearing machines (excluding presses) for flat products, including combined numerically controlled punching and shearing machines
29093023;Hexa-, hepta- or octabromodiphenyl ethers
89032200;Sailboats, other than inflatable, whether or not with auxiliary motor, of a length exceeding 7.5 m but not exceeding 24 m 
76071120;Aluminum sheets/strips, unsupported, laminated, consisting of at least two layers of different aluminum alloys, one for the core and the other for the skin, except: core of modified Aluminum Association AA 3003 alloy (alloy of aluminum with a content by weight of silicon not exceeding 0.60%, iron not exceeding 0.70%, copper not exceeding 0.05% and not equal to 0.20%, manganese equal to or greater than 1.0% and less than or equal to 1.5%, zinc less than or equal to 0.15% and other elements total less than or equal to 0.15%) with AA 4343 alloy coating ( aluminum alloy with a content by weight of silicon not exceeding 6.8% and not exceeding 8.2%, iron not exceeding 0.80%, and copper not exceeding 0.25 %, manganese less than or equal to 0.10 %, zinc less than or equal to 0.20 % and other elements total less than or equal to 0.15 %)
88069900;Other unmanned aerial vehicles (aircraft), not classified under previous codes
85414210;Organic photovoltaic solar cells not mounted on modules or panels
74198040;Copper discs suitable for minting coins 
19012010;Dough for preparing bread, without adding whole grains or seeds, frozen
28201090;Other manganese dioxides
39072991;Polyether polyacetal (PAPE)
28273939;Other Zinc chlorides
48119011;Paper/cardboard/folder and cellulose fiber blankets in strips or rolls of a width not exceeding 15 cm or in sheets with no side exceeding 360 mm, when not folded, covered with electrolytic paste based on modified starch, of equal weight or exceeding 75 g/m2 but not exceeding 120 g/m2
74094011;Plates and strips of alloys based on copper-nickel (cupronickel) or copper-nickel-zinc (maillechort), with a thickness greater than 0.15 mm, in rolls, of copper-nickel-silicon alloy, galvanized
87044100;Other motor vehicles for the transport of goods, equipped for propulsion simultaneously with compression-ignition piston engine (diesel or semi-diesel) and electric motor, with a maximum gross weight not exceeding 5 tonnes
29349200;Other phentanyls and their derivatives
85177190;Other antennas except.for used in cellular telephone
85177900;"
Other parts of telephone sets, including smartphones and handsets for cellular networks or wireless networks"
85229000;Other parts and accessories suitable for use solely or principally with the apparatus of heading 85.19 or 85.21, not classified under previous codes
85241100;Liquid crystal flat panel display modules, whether or not incorporating touch screen displays, without drivers or control circuits
85241200;Flat panel display modules, whether or not incorporating touch screen displays, without drivers or control circuits, of organic light-emitting diodes (OLEDs)
29032910;Hexachlorobutadiene
85249200;Other flat panel display modules, whether or not incorporating organic light emitting diode (OLED) touch screens
85258100;Television cameras, digital cameras and ultra-fast video cameras of subheading note 1 to this chapter
85258200;Other television cameras, digital cameras and video cameras, radiation resistant, specified in subheading note 2 to this chapter 
83012000;Locks of base metals, for motor vehicles
84198190;Other machinery for making hot drinks, etc.
84198910;Other sterilizers
84198911;Food sterilizers.uht, vapour injection, cap>=6500 l/h
84198919;Other sterilizers
84198920;Ovens
84198930;Roasting plant
84198940;Evaporators
84198991;Refrigerated container, with disp.refrigerant circulator
83040000;Classifiers/other articles of office, of base metals
83051000;Fittinin.f/loose-leaf binders, files, etc.of base metals
83052000;Staples in strips, of base metals
84201090;Other calendering or rolling machines
84209100;Cylinders for calendering or rolling machines
84209900;Other parts of calendering or rolling machines
84211110;Centrifuges cream separation, cap.proc.milk>30000l/hour
84211190;Other centrifuges cream separation
84211210;Clothes-dryers, centrifuge, cap.of dry clothes<=6kg
84211290;Other clothes-dryers, centrifuges
84211910;Laboratory centrifuges, f/analysis, scientific research
84211990;Other centrifuges
84212100;Machinery for filtering or purifying water
84212200;Machinery f/filtering or purifying beverages, exc.water
84212300;Machin.oil/ petrol-filters f/internal comb.engines, etc
84212911;Dialysers capillary type
84212919;Other dialysers
84212920;Reverse osmosis modules
84212930;Filter presses for liquid
84212990;Other machinery for filtering or purifying liquid
84213100;Intake air filters f/internal combustion engines/diesel
44129100;Plywood, veneered panels and similar laminated wood with at least one outer ply of tropical wood
44188900;Other timber products for structural engineering, not classified under previous codes
87012900;Other road tractors for semi-trailers not classified under earlier codes
89031900;Other inflatable boats, whether or not with a rigid hull, not classified under the previous codes
97021000;Original engravings, prints and lithographs more than 100 years old
38275100;Mixtures containing trifluoromethane (HFC-23) or perfluorocarbons (PFC), but not containing chlorofluorocarbons (CFC) or hydrochlorofluorocarbons (HCFC)
81123100;"Unwrought hafnium (celtium); waste and scrap; powders"
15132919;Other palm kernel oil
33029099;Other mixtures used as basic matter forindustry
89033300;Motor boats, other than inflatable boats, not fitted with outboard motors, of a length exceeding 24 m
7095600;Truffles (Tuber spp.)
94062000;Modular, steel construction units
29394530;Methamphetamine racemate and its salts
15132111;Cocombocaya oil (Acrocomia totali), crude
29397220;Ecgonine and their salts
90183926;Plastic peripheral intravenous catheters
85402019;Other tubes for cameras of television
85402020;Converters tubes/image intensifiers,of rays x
85402090;Other converters tubes/image intensifiers,etc.
85404000;Data/graphic display tubes,colour,phosphor screen
85405010;"Data/graphic display tubes,black/white,scr<33,56cm(14"")"
85405020;"Data/graphic display tubes,black/white,scr>=33,56cm(14"""
85406010;Oth.cathode-ray tubes
85406090;Other cathode-ray tubes
85407100;Tubes for microwaves, magnetrons
48101391;Other paper forwriting, etc.fibre<=10%, in rolls, coated on one side, wet strength, moisture and alkali resistant
48101399;Other paper forwriting, etc.fibre<=10%, in rolls
48101999;Oth.paper/paperb.forwriting etc.mechanical fibre<=10%
84807990;Other molds for rubber/plastic
85061011;Electric piles, of manganese dioxide, alkaline, of a voltage of 1.5 V, cylindrical, of the type LR14 (C)
85061012;Electric piles, of manganese dioxide, alkaline, of a voltage of 1.5 V, cylindrical, of the type LR20 (D)
85392990;Other lamps/incandesc.tubes
85393100;Lamps/tubes discharge,fluorescent,hot cathode
85393200;"Mercury/sodium vapour lamps; metal halide lamps"
85393900;Other lamps/tubes discharge
85394100;Arc-lamps
85394110;Arc lamps with power => 1000w
87031000;Motor vehicles desig.f/travel.on snow,golf cars,etc
85284910;Monitors with monocr. crt (cathode ray tube)
85284921;Video monitors, colour, with sweep selec.
85284929;Monitors with policr. crt (cathode ray tube)
85285110;Other monit. used exclusively. with auto. machin. of  84.71 posi., monocr.
85285120;Other monit. used exclusively. with auto. machin. of  84.71 posi., policr.
85285129;Other video output unit, policr.
85489000;Parts electric of other machines and apparatus
85489010;Thermocouples used in thermoelectric gas devices
85489090;Parts of other electrical machinery and apparatus
86011000;Rail locomot.powered from an exter.source of electr.
86012000;Rail locomotives, of electric accumulators
86021000;Diesel-electric locomotives
86029000;Other rail locomotives and locomotive tenders
86031000;Self-propelled,powered from an exter.source of elec.
86039000;Other self-propelled
86040000;Vehicles f/inspection/maintenance of railway/similar
86040010;Self-propelled vehicles,ballast tampers,railway alig.
90061090;Outras cameras fotog p/ prep cliches/cilindros impressa
90062000;Photog.cameras f/recording documents on microfilm,etc
90063000;Phot.cam.designed f/a kind used f/underwater,aerial,etc
90064000;Instant print photographic cameras
90065100;Phot.cam.with through-the-lens view.f/roll film,w<=35mm
90065200;Other photographic cameras f/roll film,w<35mm
85183000;Earphones, including with microphones
85184000;Audio-frequency electric amplifiers
85185000;Electric sound amplifier sets
85189010;Parts of loudspeakers
85189090;Parts of microphones, earphones, amplifiers, etc
85322490;Oth.fixed capacitors with ceram.dielectric
85322510;Fixed capacit.with diel.paper/plast.f/surf.moun.device
85322590;Other fixed capacit.with dielec.paper/plastic
85322910;Oth.elec.capacitors, fixed, f/surf.moun.device
85322990;Other electrical capacitors, fixed
85323010;Electr.capacit., variable/adjustable f/surf.moun.device
85323090;Other electrical capacitors, variable/adjustable
85329000;Parts of electric.capacitors, fixed/variable/adjustable
85493900;Other waste and scrap from electrical and electronic assemblies and printed circuit boards not classified under previous codes
95082110;Roller coaster with a course of 300 m or more
95082300;Bumper cars
29329600;Carbofuran
71049100;Other synthetic/reconstituted diamonds, not classified under previous codes
97053900; Other collections and collectors' pieces of numismatic interest, not classified under previous codes
44192000;Other tableware and kitchenware, of tropical wood
30024113;Vaccines against hepatitis b, except in doses
30024126;Vaccines against rubella, measles, mumps, in doses
81092900;Other unwrought zirconium, not classified under former codes
87149690;Other pedals and parts thereof
30024116;Vaccines against rubella, measles, mumps, except in doses
38276400;Other mixtures containing other hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs), other than those specified in the subheadings above, containing by weight 30 % or more of 1,1,1,2-tetrafluoroethane (HFC-134a), but not containing unsaturated fluorinated derivatives of acyclic hydrocarbons (HFOs)
89031100;Inflatable boats, whether or not rigid-hulled, fitted with or designed to be fitted with a motor, of an unladen weight (without load) not exceeding 100 kg
85235900;Other semiconductor brackets
93040090;Oth.arms (shotguns/carbines/pistols /truncheons)
93069090;Other bombs,grenades,oth.munitions of war and parts thereof
95089042;Motion simulators and dynamic cinemas
85285910;Other monochrome monitors
85285920;Other monitors polychromatic
85286100;Other input/output units for data proc.mach.
85286900;Other vídeo projectors
85286910;With technology dmd (digital micromirror device)
85286990;Other projectors
85287111;Other integ.dec.rec., without radiofreq.output, with audio input
85182100;Single loudspeakers, mounted in their enclosures
85182200;Multiple loudspeakers, mounted in the same enclosure
85182900;Other loudspeakers
85182910;Specific piezo-eletric for appar./equip.of telephony
85182990;Other specific for teleph. appar./equip.
38276500;Other mixtures containing other hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs), other than those specified in the subheadings above, containing 20 % by weight or more of difluoromethane (HFC-32) and 20 % or more of pentafluoroethane (HFC-125)
84622500;Numerically controlled roll-forming machines
84623300;Numerically controlled shearing machines
29333400;Other fentanyls and their derivatives
38273110;Prepared based on chlorodifluoromethane/pentafluoroethane
38276800;Other mixtures containing other hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs), other than those specified in the above subheadings, containing substances of subheadings 2903.41 to 2903.48
38279000;Oth.mixture c/acycl.perhalog.hydroc.acyclic 2 halog.dif
94051910;Other surgical lights (lights without shade, of a kind used in medicine, surgery or dentistry)
84623200;Slitting lines and cut-to-length lines
15101000;Crude olive-pomace oil, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09
28444320;Cobalt 60
38275900;Other mixtures containing trifluoromethane (HFC-23) or perfluorocarbons (PFC), but not containing chlorofluorocarbons (CFC) or hydrochlorofluorocarbons (HCFC), not classified under previous codes
29397290;Esters and other derivatives of cocaine and ecgonine
85018000;AC photovoltaic generators
85241900;Other flat panel display modules, whether or not incorporating touch screens, without drivers or control circuits
29315400;Trichlorfon
24041200;Other products for smokeless inhalation containing nicotine
85141900;Other industrial or laboratory electric furnaces and ovens, other than those functioning by induction or dielectric loss
85143900;"Other industrial or laboratory electric furnaces and ovens, including those functioning by induction or dielectric loss; other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss, not falling under previous codes"
85171300;Smartphones
85171410;Other telephones, radiotelephony, analog, for cellular networks or for other wireless networks
85171431;Other portable telephones for cellular networks, except via satellite
85171441;Digital appar/equip. operating in band c, ku, l or s
85171449;Other appar/equip. of transm./recep. of telec. by satellite
85171490;Other telephones for cellular networks or other wireless networks, not classified under previous codes
85171830;Other phone appar/equip. , n/combined with oth.appar./equip.
85171890;Other telephone sets, including smartphones and other telephones for cellular networks or other wireless networks, not classified under previous codes
85393912;Fluorescent tubes with cold cathode or external electrode, for electronic screens with a length greater than 500 mm but not greater than 1,500 mm and containing more than 5 mg of mercury
85176215;Multiplexers
85176234;Packet switching devices (switches)
85176256;Intercoms for reception, transmission or regeneration of voice, images or other data over a wired network
85176273;Intercoms with built-in receiver, digit
81039900;Tantalum and articles thereof, including waste and scrap, not classified under former codes
81061000;Bismuth and articles thereof, including waste and scrap, containing more than 99,99 % by weight of bismuth
81099900;Other zirconium and articles thereof, including waste and scrap, not classified under previous codes
84191900;Other non-electric instantaneous or storage water heaters
70197310;Other woven fabrics of chemically bonded open mesh fabrics of glass fibres, consisting of threads twisted in parallel and overlapped at an angle of 90°, impregnated and welded at the points of intersection with thermoplastic resin, of a specific gravity of 3 or more and not exceeding 7 threads per cm
4101000;Edible insects, not classified under former codes
12116000;African cherry bark (Prunus africana)
62022000;Women's or girls' overcoats, car-coats, capes, cloaks, anoraks, wind-cheaters, wind-jackets and similar articles, of wool or fine animal-hair, other than those of heading 62.04
30049014;Medicament containing Idursulfase, in doses
90189061;Blood pressure measuring devices containing mercury
62023000;Women's or girls' overcoats, car-coats, capes, cloaks, anoraks, wind-cheaters, wind-jackets and similar articles, of cotton, other than those of heading 62.04
90058000;Monoculars other astronomy instrumets,its mountings
90059010;Parts and accessories of binoculars
90059090;Parts and access.of monoculars and oth.astron.instrum.
90061000;Photogr.cameras f/preparing printing plates/cylinders
90061010;Fotocompositoras a laser para preparacao de cliches
85203200;Digital of recor.appar./reprod.of sound, of magn.tape
85203300;Recor.appar./reprod.of sound, of magn.tape, of cassette
85203900;Other recor.appar./reprod.of sound, of magnetic tape
85209011;Flight data recorders, without device of sound reproduct
85209019;Oth.sound recording appar., without device sound reprod
85209020;Oth.sound recording appar., with device sound reproduc.
85211010;Recording-reprod.of magnetic tape-type without tuner
85211081;Video recording/reproducing appar.f/casset.type, w=12mm
85211089;Oth.video record./reprod.appar.magn.tape-type w<19.05mm
85211090;Oth.video recor./reprod.appar.magn.tape-type w>=19.05mm
85219010;Record./reproduc.and image/sound editor, magnetic disks
85393990;Other lamps/tubes discharge
90021111;Lenses for photographic or cinematographic cameras or for projectors
90021119;Other lenses for photographic or cinematographic cameras or for projectors
90189069;Other apparatus for measuring arterial pressure
90251191;Direct reading liquid thermometers and pyrometers containing mercury
90251199;Oth.thermometers and pyrom.of liquid,of direct reading
38220020;Reagents for blood glucose determination, on strip support, for direct use
70197390;Other open mesh fabrics of glass fibers, not classified under previous codes
70198000;Glass wool and its works
39049090;Oth.polymers of vinyl chloride/halog.olefins, prim.forms
95089050;Shooting booths and other fairground attractions
74082912;Phosphorous copper-tin (brass) alloy wires with circular cross section, with a diameter less than or equal to 0.8 mm
73269020;Discs for minting coins
71049900;"Other synthetic or reconstituted stones, whether or not worked or graded but not strung, mounted or set; other synthetic or reconstituted stones, ungraded, temporarily strung for convenience of transport, not classified under previous codes"
95089060;Traveling theaters
39072990;Other polyethers, in primary forms, not classified under previous codes
40151200;Articles of apparel and clothing accessories (including gloves, mittens and mitts), of vulcanized rubber other than hard rubber, of a kind used in medical, surgical, dental or veterinary sciences
44014100;Sawdust
44125100;Plywood, veneered panels and similar laminated wood with a core of agglomerated, honeycombed or laminated wood with at least one outer ply of tropical wood
44125200;Other plywood, veneered panels and similar laminated wood, with a particle board, glued or laminated core, with at least one outer ply of non-coniferous wood
44149000;Wooden frames for paintings, photographs, mirrors or similar objects, other than of tropical wood
44182100;Doors and their frames and thresholds, of tropical wood
44182900;Other wooden doors and their frames and thresholds, not classified under previous codes
97029000;Other original engravings, prints and lithographs
97039000;Other original productions of statuary or sculpture, of any material
29314911;"Phosphonomethyliminodiacetic acid; trimethylphosphonic acid"
29314914;Glyphosate and its salt monoisopropylamine
29314915;Glufosinate ammonium
62024000;Overcoats, car-coats, capes, cloaks, anoraks, wind-cheaters, wind-jackets and similar articles, of man-made fibers, excluding those of heading 62.04
62029000;Overcoats, car-coats, capes, cloaks, anoraks, wind-cheaters, wind-jackets and similar articles, of other textile materials, other than those of heading 62.04
68151100;Carbon fibres, for non-electrical uses
4032000;Yoghurt
8029900;Other nuts, fresh or dried, whether or not in shell or peeled, not classified under previous codes
15092000;Olive oil extra virgin
85393132;Phosphorus tubes in halophosphate and containing more than 10 mg of mercury
57033900;Other carpets and other textile floor coverings, of other synthetic textile materials or of artificial textile materials, other than grass, tufted, whether or not made up
58021000;Terry towelling and similar woven terry fabrics, other than narrow fabrics of heading 58.06
90278920;Polarographs
36033000;Fuzes, blasting
36035000;Igniters
71042900;Oth.stone synt/recons.unwork./simply sawn/roug.shaped
85235290;Other smart cards
87032410;Autom.with motor explosion,cm3>3000,up to 6 passengers
87032490;Autom.with motor explos.cm3>3000,more than 6 passengers
87033110;Autom.with diesel engine,cm3<=1500,up to 6 passengers
87033190;Autom.with diesel engine cm3<=1500,more than 6 passen.
87033210;Autom.with diesel engine,1500<cm3<=2500,up to 6 passen.
87033290;Autom.with diesel engine,1500<cm3<=2500,more than 6 pas
87033310;Autom.with diesel engine,cm3>2500,up to 6 passengers
87033390;Autom.with diesel engine,cm3>2500,more than 6 passeng.
87082200;Windshields, rear and other glass specified in subheading note 1 to this chapter
30024991;Other vaccines, toxins, cultures of microorganisms (excluding yeasts) and similar products, for animal health, not classified under previous codes
30024992;Other vaccines, toxins, cultures of microorganisms (excluding yeasts) and similar products, for human health, not classified under previous codes
30024999;Other vaccines, toxins, cultures of microorganisms (excluding yeasts) and similar products, not classified under previou codes
85438920;Appliances for electrocuting insects
85438931;Gener.of special effects with man.2/3 dimen.etc.f/video
85438932;Digital character generators, for video
85438933;Frame synchronizer,etc.time base recorders,f/video
85438934;Editing controller, for video
85438935;Real time digital mixers>=8 input,f/video
85438936;Routing switches 20<input,16<output,f/video
85438939;Other machines and auxiliary apparels,for video
85438940;Television standard transcoders or converter
88031000;Propellers,rotors and parts thereof f/aircraft,etc.
88032000;Under-carriages and parts thereof f/aircraft,etc.
88033000;Other parts of aeroplanes or helicopters
88039000;Other parts for aircraft/space
88040000;Parachutes/rotochutes,its parts and access.
88051000;Apparatus and devices f/aircraft launching,etc.parts
88052000;Flight simulators apparatus and parts thereof
88052100;Air combat simulators and parts thereof
88052900;Other ground flight training apparatus,etc
68151200;Carbon Fiber Textiles
68151300;Other carbon fiber works
68151900;"Other carbon fibers; other articles of carbon fibers for non-electrical purposes; other articles of graphite or other carbon for non-electrical purposes, not classified under previous codes"
70191300;Other wicks and yarn, of glass fibres
70191400;Glass fiber mats (including glass wool), mechanically consolidated
70191500;Glass fiber mats (including glass wool), chemically consolidated
70196100;Mechanically bonded woven fabrics of glass fibres, obtained from closed woven rovings
70196200;Other mechanically bonded woven fabrics of glass fibre obtained from rovings of closed mesh (other closed fabrics)
70196500;Mechanically bonded open mesh fabrics of glass fibers of a width not exceeding 30 cm
70196600;Open mesh fabrics of glass fiber with a width of more than 30 cm
70196900;Other mechanically consolidated glass fiber fabrics
70197100;Thin sheets (voiles) of glass fibres, non-wovens
70197200;Other chemically bonded closed mesh fabrics of glass fibres
27075010;"
Mixtures containing trimethylbenzenes and ethyltoluenes as major constituents"
94051190;Other electric chandeliers and other electric lamps, suitable for ceiling or wall mounting, other than those of a kind used for public lighting, designed for use solely with light emitting diode (LED) light sources
94051990;Chandeliers and other electric lamps and lighting fittings, whether or not suspended from a ceiling or wall, other than those of a kind used for lighting public places
94052100;Electric table lamps, desk lamps, bedside lamps and floor lamps designed for use with light emitting diode (LED) light sources only
31053000;Diammonium hydrogenorthophosphate 
54033190;Others Yarn of viscose rayon, single, twist<=120turns/meter
30049097;Sevoflurane
94014900;Seats convertible into beds,of oth.materials
94019100;Parts for seats, of wood
94053900;Other electric garlands of a kind used for Christmas trees, not falling under previous codes
95082900;Other equipment for amusement parks and water parks
97031000;Original sculptures and statuary, of any material, more than 100 years old
7123400;Shitake (Lentinus edodes), dried or crushed or ground
38249200;Polyglycol esters of methylphosphonic acid
87149311;Hubs, other than for brakes (brakes) for bicycles and other cycles, without thread, for cassette-type pinions
89031200;Inflatable boats, whether or not rigid hulled, not designed for use with a motor and of an unladen weight not exceeding 100 kg
97012200;Mosaics, executed entirely by hand, more than 100 years old
85017100;Direct current photovoltaic generators, of an output not exceeding 50 W
29034800;1,1,1,3,3-Pentafluorobutane (HFC-365mfc) and 1,1,1,2,3,4,5,5-decafluoropentane (HFC-43-10mee)
29035100;2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4-hexafluoro-2-butene (HFO-1336mzz)
84626300;Servo presses for cold metalworking
84729020;Bank teller type machines with authentication device
85171432;Other landline telephones, not powered by their own power supply, for cellular networks, excluding satellite telephones
95082290;Other merry-go-rounds, swings, and similar rotating equipment, not classified under previous codes
95082600;Recreational equipment for water parks
96121000;Printer Ribbons
97012100;Pictures, paintings and drawings, executed entirely by hand, other than drawings of heading 49.06, which are more than 100 years old
97019100;Other pictures, paintings and designs, executed entirely by hand, other than drawings of heading 49.06
76061230;Simply-rolled aluminum alloy sheets, consisting of at least two layers of different aluminum alloys, one for the core and the other for the skin, except: Aluminum AssociationAA 3003 modified alloy core (aluminum alloy with a content, by weight 0.60% or more of silicon, 0.70% or less of iron, 0.05% or more of copper and 0.20% or less, 1 or more manganese .0% and less than or equal to 1.5%, zinc less than or equal to 0.15% and other elements total less than or equal to 0.15%) coated with alloy AA 4343 (aluminum alloy with an by weight of 6.8% or more silicon and 8.2% less or more, 0.80% or less iron, 0.25% or less copper, 0.25% or less manganese equal to 0.10%, zinc less than or equal to 0.20% and other elements total less than or equal to 0.15%)
47032190;Chemical wood pulp of conif., soda/sulphate, semi/bleach
87149319;Other hubs, except for brakes (brakes) for bicycles and other cycles
39074020;Polycarbonates in primary powder or flake forms, with a melt flow index of less than 60 g/10 min or greater than 80 g/10 min according to Standard ASTM D 1238
15132119;Other crude oils
39081025;Polyamide-6, without filler, in pieces, etc
87149619;Other pedalboards and parts thereof
47032110;Chemical wood pulp of conif., soda/sulphate, semi/bleach in rolls
3029190;Other livers and male gonads, fresh or chilled
85499900;Other waste and scrap, electrical and electronic, not classified under previous codes
95082400;Motion simulators and dynamic cinemas
87012400;Road tractors for semi-trailers, solely powered by an electric motor for propulsion
3052090;Other livers/roes of fish, dried, smoked, etc.
3039190;Other livers and male gonads, frozen
