CO_NCM;NO_NCM_ING
85371019;Oth.boards,panels,etc.with appar.com.num.comp.t<=1kv
85371020;Boards with programmable control apparatus,t<=1kv
85371030;Boards with control of elect.power demand appar.t<=1kv
85371090;Oth.boards,etc.with elect.circuit switches appar.t<=1kv
87149100;Frames,forks and parts thereof f/bicycles and oth.cycl.
87149200;Wheel rims and spokes f/bicycles and other cycles
87149300;Oth.hubs and sprocket-wheels f/bicycles,etc
87149310;Hubs,exc.of brakes(coaster brak.)p/bicyc.and oth.cycles
85176214;Centralizing of lines of subscribers (centr/remot.term.)
85176219;Other centralizing appar/equip
49011000;Books, brochures, similar printed papers, in single sheets
49019100;Dictionaries and encyclopaedias, serial instalm.thereof
49019900;Oth.printed books, brochures and similar printed
49021000;Newspapers, journals, printed, periodical>=4 times/week
52102910;Fabrics of cotton, bleached, synthetic or artificial fibres, point twill, diag. <200g/m2
52102990;Other fabrics of cotton, bleached, synthetic or artificial fibres, weight<200g/m2
52103100;Fabric of cotton<85%, dyed/fibr.synt/art.taf.w<=200g/m2
52103200;Fabric of cotton<85%, dyed/fib.synt/art.twill, w<=200g/m2
52103900;Ot.fabrics of cotton<85%, dyed/fibr.synt/art, w<=200g/m2
52104100;Fabric of cotton<85%, color./fibr.syn/art.taf, w<=200g/m2
52104200;Fabric of cotton<85%, col./fibr.syn/art.twill, w<=200g/m2
52104900;Ot.fabrics of cotton<85%, colour/fib.synt/art, w<=200g/m2
64041100;Sports footwear, etc.of text.mat.soles of rubber/plastic
64041900;Oth.footwear of text.materials, soles of rubber/plastic
64042000;Footwear of text.materials, with outer soles of leather
64051010;Footwear composition leather, soles of rubber/plastic
64051020;Footwear composit.leather, with outer soles of leather
70111090;Other glass envelopes, etc.for electric lighting
70112000;Glass envelopes, etc.for cathode-ray tubes
70119000;Ot.glass env.(inc.bulbs/tubes), open, glass parts thereof
70120000;Glass inners f/vacuum flask, etc.vacuum vessels
70131000;Glassware of glass-ceramics, used f/table, kitchen, etc
70132100;Drinking glasses, of lead crystal
61021000;Overcoats, etc.of wool/fine anim.hair mesh, feminine uses
61022000;Overcoats, etc.of cotton mesh, feminine uses
61023000;Overcoats, etc.of fibre mesh synt/art.feminine uses
61029000;Overcoats, etc.of mesh of ot.text.material, feminine uses
61031010;Mesh suits of wool or fine animal hair, masculine uses
61031020;Mesh suits of synthetic fibres, masculine uses
52091200;Fabric of cotton>=85%, raw, point twill, w<=200g/m2
52091900;Oth.fabrics of cotton>=85%, raw, weight>200g/m2
52092100;Fabric of cotton>=85%, bleached, point taffeta, w>200g/m2
52092200;Fabric of cotton>=85%, bleached, point twill, w>200g/m2
52092900;Other fabrics of cotton>=85%, bleached, weight>200g/m2
52093100;Fabric of cotton>=85%, dyed, point taffeta, weight>200g/m2
52093200;Fabric of cotton>=85%, dyed, point twill, weight>200g/m2
52093900;Other fabrics of cotton>=85%, dyed, weight>200g/m2
52094100;Fabric of cotton>=85%, color.yarn, point taf.w>200g/m2
52094210;Fabric of cotton>=85%, col.yarn denim, indigo, w>200g/m2
52094290;Other fabric of cot.>=85%, color.yarn denim, w>200g/m2
52094300;Fabrics of cotton>=85%, color.yarn, point twill, w>200g/m2
55049000;Other artificial staple fibres, n/carded, etc
55049010;Artificial staple fibers, not carded, combed or otherwise processed for spinning, of lyocell
55049090;Other artificial staple fibres, no carded, etc
55051000;Waste of synthetic fibres
55052000;Waste of articificial fibres
55061000;Fibres of nylon/other polyamides, carded, etc.f/spinning
55062000;Fibres of polyesters, carded, combed, etc.f/spinning
55063000;Acrylic/modacrylic fibres, carded, combed, etc.f/spinning
55069000;Other synthetic fibres, carded, combed, etc.f/spinning
55070000;Artificial fibres, carded, combed, etc.f/spinning
55081000;Sewing thread, of synthetic fibres
55082000;Sewing thread, of artificial fibres
55091100;Yarn of nylon fibres/other polyam.>=85%, single
85284110;Output unit for video, with monocr. crt (cathode ray tube)
85423210;Digit.monolithic integrated circuits, no mounted
85423221;Ram memories <=25ns,eprom,eeprom,prom,rom,flash
85423229;Other digital digital memories
85423291;Other ram memories <25ns,eprom,eeprom,prom,flash
85423299;Other ram memories <25ns
85423311;Hybrid.integrat.circuit. thick.<1micron, freq>800mhz
85423319;Other hybrid. integrat. circuit. thick<=1 micron
85423320;Other monolithic integr.circuits, no mounted
85423390;Other mounted circuits
85423911;Hybrid.integrat.circuit. thick.<1micron, freq>800mhz
85423919;Other hybrid. integrat. circuit. thick<=1 micron
85423920;Other monolithic integrated circuits,no mounted
85423931;"Monolithic integrated circuits,""chipset"", mounted smd"
85423939;Other monolithic integr.circuits
85423991;"Other monolithic integr.circuits ""chipset"""
85423999;Other monolithic integr.circuits dig.
85424010;Hybrid integrated circuit,thickness of layer<=1micron
39012021;Polyet.not c/fillers, vulcanized d>1.3, in primary forms
39012029;Oth.polyeth.not c/fillers, density>=0.94, primary forms
39013010;Ethylene-vinyl acetate copolymers, in liquids, pastes
30049022;Medicament containing deoxycholic acid, etc, in doses
30049023;Medicament cont.gluconic acid/salts/esters, in doses
30049024;Medicament cont.o-acetylsalicylic acid, etc.in doses
30049025;Medicament contain.triac/calcium lactophosin doses
30049026;Medicament contain.lactic acid/its salts, etc.in doses
30049027;Medicam.c/nitroglycerine, in doses, fortrans.administrat.
30049028;Medicament c/etretinate miltefosine, etc.in doses
30049029;Oth.medicam.c/monocarboxylic acyclic n/sat.etc.doses
30049031;Medicament c/tranylcypromine sulphate, etc.in doses
30049032;Medicament c/tranylcypromine sulphate, etc.in doses
30049033;Medicament c/clenbuterol or its hydrochloride, in doses
30049034;Medicament c/tamoxifen or its citrate, in doses
30049035;Medicine with levodopa/alfa-metildopa, in doses
30049036;Medicament c/phenylephrine hydrochloride, etc.in doses
30049037;Medicament c/diclofenac sodium, etc.in doses
30049038;Medicament c/melfalan, chlorambucil, etc.in doses
33049990;Other products  of beauty or make-up preparations, etc
33051000;Shampoos for hair
33052000;Preparations for permanent waving/straightening, of hair
33053000;Hair lacquers
34049011;Artificial waxe of polyethylene, emulsifiable
34049012;Other artificial waxes, of polyethylene
34049013;Artificial waxe of poly propylene glycol
38089332;Other anti-sprouting wrapped for sanitary for household use
38089333;Other anti-sprouting presented in another way
